运营助理, 1、负责有赞微商城的商品上下架，完善商品详情页等基本信息； 2、负责有赞商城及其它平台渠道有关营运数据的统计，包括每天监控数据、营销数据、交易数据、商品管理、会员管理等； 3、负责公司所有平台的订单管理，导单制单、跟进发货，做好明细汇总表； 4、管理公司客服手机，维护管理微信账号；通过有赞店铺后台和公司微信与客户在线沟通，解答客户提出的各种问题，达成交易； 5、协助制定商品运营策略、计划，并负责运营计划执行； ,红岭臻选,互联网 游戏 软件 ,"民营企业
",50-150人 , 一起做大事 免费中餐 股权激励 活动策划落地 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_ayofczc0fetg?pcm=pc_SearchList
信用卡专员, 招聘信用卡业务员，网申信用卡平台，不需要来上班，每张卡银行给结算佣金奖励，最高一张274元；公司可负责专业培训和指导。 优势： 1、佣金和提成丰厚 2、全国范围可做、线上线下均可做 3、提供专业培训，不需要任何费用 4、共享经济模式，链式培训，可免费开后台 要求： 1、吃苦耐劳 2、积极进取，执行力强 3、敢于接受挑战，抗压能力强 ,扇贝家,互联网 游戏 软件 ,"民营企业
",15-50人 , 自带食堂 五险& ;  节假日福利& 员工旅游 年轻化的团队 实践机会多 ,深圳 ,https://www.shixiseng.com/intern/inn_lf2xhh3h9jcb?pcm=pc_SearchList
iOS开发工程师," iOS开发工程师(2020届校招岗位 base深圳/广州) hi~ 各位亲爱的2020届小伙伴，看过来啦~ 【关于SHEIN】 · SHEIN 是2008年成立的一家快时尚跨境电商互联网公司, 公司规模6000    人 · 目前D轮融资阶段，专注海外市场11年，全球224+国家地区的市场站点 · SHEIN深圳产品研发团队承担着to C的互联网产品研发职责，自有两大   APP(SHEIN ROMWE) & 三大购物商城网站 · 目前各端活跃会员数量7000万+ 【岗位职责】 1.负责IOS App开发及维护； 2.协助其他同事做内部技术优化； 【岗位要求】 1、掌握OC/SwiftC/C++； 2、掌握代码注释技巧； 3、掌握基本的调试方法； 4、掌握单模块的单元测试； 5、熟悉tcp/ip、http协议。 【你将获得】 1.有竞争力的薪酬 2.全面的培养带教计划 3.前沿的技术领域，和大牛一起飞 4.弹性工作制、下午茶、生日会...  来SHEIN，最IN互联网氛围，和我们一起SHINE OUT~ ",shein,互联网 游戏 软件 ,"民营企业
",2000人以上 , 跨境电商 广阔发展平台 有机会转正 美女帅哥 大平台 ,深圳 ,https://www.shixiseng.com/intern/inn_fyk8ahyzqmys?pcm=pc_SearchList
社群运营实习生, 岗位职责 1、负责社群社区类私域流量的组建，形成多样的内容合作机制； 2、负责社群运营工作，通过有效的手段激励KOL及社群的活跃度、粉丝增长，并对效果转化的结果负责   岗位要求 1、对群运营、公众号的运营模式有深刻理解； 2、对内容生产领域上下游有敏锐的洞察力和判断力，有通过增长思维创新迭代解决问题的实际经验； 3、该岗位对理解力、执行力和沟通能力要求较高，更倾向于有出色的人际交往能力者。 ,Rocket AI,互联网 游戏 软件 ,"民营企业
",50-150人 , 提倡创新 能力锻炼 多劳多得 弹性工作 新鲜事物 互联网热点 ,深圳 ,https://www.shixiseng.com/intern/inn_vrhta4avmkls?pcm=pc_SearchList
前端研发工程师, 【岗位职责】 1、负责前端ui框架的日常维护和更新； 2、负责项目迭代前端任务的完成和后续跟进维护； 3、负责前端新技术的学习和应用； 【任职要求】 1、本科学历，英语六级 2、熟练使用至少一种JS框架，vue优先，掌握其原理，能独立开发常用组件。。 3、熟悉W3C标准与ES规范，熟悉Web语义化，熟悉ES6新特性。。 4、熟练掌握vue框架的开发 5、良好的沟通表达能力，个性乐观开朗，逻辑性强，善于合作。 ,赞悦科技,互联网 游戏 软件 ,"民营企业
",50-150人 , ,广东/深圳 ,https://www.shixiseng.com/intern/inn_bkxsqc3lyywn?pcm=pc_SearchList
系统分析实习生, 工作职责： 1、协助项目需求的资料收集、文档编写、原型设计等需求文档落地工作； 2、负责ERP项目过程中软件测试，测试问题反馈和跟踪工作； 3、负责ERP项目过程中培训材料制作，用户培训和考核工作； 岗位要求： 1、本科大四、应届毕业生，财务、金融、经济、会计、统计、数学、信息管理、计算机科学优先； 2、了解ERP系统理论，至少了解一种数据库。 3、有较强的学习能力和较强的抗压能力； 4、做事认真，仔细，有责任感，业务梳理、文笔较好。 你将获得： 集团合作：项目属于华润、国药等集团项目； 实习证明：为实习生提供实习证明； 薪酬工资：提供具有竞争力的薪酬； 员工活动：丰富文体活动，如羽毛球、生日会、外出旅行； 其他福利：节日活动奖品；每日新鲜水果、零食下午茶。 ,无境创新,互联网 游戏 软件 ,"外资企业
",15-50人 , 各种牛人 行业大咖 快速发展 扁平化管理 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_awwen5q6vx65?pcm=pc_SearchList
互联网店长工程（2020届）, 2020届毕业生 1、通过终端实践学习，从协助到最终全面负责门店经营管理工作； 2、通过学习，从自己销售、到管理销售最终承担整个团队的销售达成； 3、通过用户研究、大数据分析以及互联网工具的运营，提升门店在当地市场的行业地位。 ,苏宁易购,互联网 游戏 软件 ,"民营企业
",2000人以上 , 无限发展空间 大企业 机遇多 节假福利 提供住宿 提供餐补 世界500强 团队氛围好 带薪年假 ,,https://www.shixiseng.com/intern/inn_4gbtvp4tvj0a?pcm=pc_SearchList
固相实习生（机器学习）, 岗位职责： 1. 负责固相数据查阅、整理&semi 2. 相关性质的统计与建模。 任职要求： 1. 了解机器学习原理和方法； 2. 熟悉Linux操作系统，具有在Linux下分析和处理数据的能力。 具有以下条件优先考虑： 1. 具有分子晶体实验或理论研究经验； 2. 熟悉Python等编程语言，并进行过代码开发或数据分析； 3. 熟悉常见的机器学习工具。 ,晶泰科技,互联网 游戏 软件 ,"民营企业
",50-150人 , 弹性办公 高效团队 上级同事很好 研究公司 不打杂纯干货 高端人脉 年轻群体 ,深圳 ,https://www.shixiseng.com/intern/inn_8sqp7pwdjj9f?pcm=pc_SearchList
算法助理工程师实习生, 【岗位职责】 相关算法的样本采集工作，对算法的效果进行评估，样本标注标准的设计 【任职要求】 对nlp，cv领域的算法有所了解，对一些前沿的算法熟悉，了解整个机器学习的过程。 ,OPPO,电子 通信 硬件 ,"民营企业
",2000人以上 , 同事可爱 与成功者为伴 福利完善 早午餐 学习平台广 ,深圳 ,https://www.shixiseng.com/intern/inn_o00jwrspeuen?pcm=pc_SearchList
跨境电商业务助理, 外贸电商：从入门到精通 外贸小白的福音，0经验的小伙伴不要怂，我们来啦~  一大波实习岗位来袭——英语/法语/西语业务助理 ，法语/西语客服 我们希望你： 1.英语四级以上，加分项西语、法语二外，或具备相应语言能力； 2.积极好学，对跨境电商充满热情，有强烈的成就动机； 3.善于沟通协调，喜欢与人互动； 4.思维活跃，善于总结归纳，追求卓越。 你需要做的： 1. 回复邮件，解决售前、售中、售后问题； 2. 处理订单，跟踪物流进度，保证订单准确及时发货； 3. 处理纠纷及中差评，维护账号安全，降低账号风险； 4. 与采购，物流，仓储等部门沟通解决突发性问题； 5. 完成上级交代的其它任务。 我们提供： 1.3个月试用期，提供转正机会 2.良心地理位置，近坪洲地铁站，告别挤地铁公交 3.有付出有回报的薪酬政策 4.私人订制，一对一辅导，帮助新同学熟悉行业，融入团队 5.暖心的午餐，选择困难症再也不用担心点外卖啦 6.节假日礼金礼品伺候 7.5-10天带薪年假 8.羽毛球，生日会，迎新会各种团结活动，玩到嗨 上班时间：9:00-12:30  14:00-18:00  大小周 ,巨世科技,互联网 游戏 软件 ,"民营企业
",50-150人 , 休闲游戏 电商 有正式编制 新型整合营销 ,广东/深圳 ,https://www.shixiseng.com/intern/inn_kj0vvut2jvxa?pcm=pc_SearchList
